walisin (sweep away)                  winalis             winawalis           wawalisin           walisin
wasak (demolish/wreck)                nagwasak            nagwawasak          magwawasak          magwasak
wasakin (demolish/wreck)              winasak             winawasak           wawasakin           wasakin
wasto (correct/put in order)          nagwasto            nagwawasto          magwawasto          magwasto
iwasto (correct/put in order)         iniwasto            iniwawasto          iwawasto            iwasto
wumagayway (wave)                     wumagayway          wumawagayway        wawagayway          wumagayway
yakap (hug/embrace)                   yumakap             yumayakap           yayakap             yumakap
yakapin (hug/embrace)                 niyakap             niyayakap           yayakapin           yakapin
yanigin (cause to shake)              niyanig             niyayanig           yayanigin           yanigin
yuko (bend down or forward)           yumuko              yumuyuko            yuyuko              yumuko
